filename,width,height,class,xmin,ymin,xmax,ymax
2018-11-19-16-21-37_mix.png,1280,960,bag1,472,394,767,854
2018-11-19-16-21-37_mix.png,1280,960,bag1,777,384,1076,857
2018-11-19-16-21-37_mix.png,1280,960,bag1,155,58,652,386
2018-11-19-16-22-14_mix.png,1280,960,bag1,612,84,1098,392
2018-11-19-16-22-14_mix.png,1280,960,bag1,472,390,768,857
2018-11-19-16-22-14_mix.png,1280,960,bag1,763,386,1081,857
2018-11-19-16-23-31_mix.png,1280,960,bag1,618,66,1097,400
2018-11-19-16-28-14_mix.png,1280,960,bag1,614,52,1123,397
2018-11-19-16-28-27_mix.png,1280,960,bag1,472,86,798,592
2018-11-19-16-28-27_mix.png,1280,960,bag1,796,84,1105,563
2018-11-19-16-28-51_mix.png,1280,960,bag1,610,545,1102,847
2018-11-19-16-30-56_mix.png,1280,960,bag1,476,370,793,839
2018-11-19-16-32-11_mix.png,1280,960,bag1,639,84,1113,399
2018-11-19-16-32-11_mix.png,1280,960,bag1,170,63,642,391
2018-11-19-16-33-22_mix.png,1280,960,bag1,634,63,1133,389
2018-11-19-16-33-22_mix.png,1280,960,bag1,149,43,635,380
2018-11-19-16-33-29_mix.png,1280,960,bag1,642,59,1147,386
2018-11-19-16-33-29_mix.png,1280,960,bag1,160,38,652,394
2018-11-19-16-33-38_mix.png,1280,960,bag1,658,48,1157,380
2018-11-19-16-33-38_mix.png,1280,960,bag1,146,32,647,381
2018-11-19-16-33-47_mix.png,1280,960,bag1,649,37,1171,384
2018-11-19-16-33-47_mix.png,1280,960,bag1,138,23,649,376
2018-11-19-16-34-19_mix.png,1280,960,bag1,636,43,1160,374
2018-11-19-16-34-19_mix.png,1280,960,bag1,112,34,650,376
2018-11-19-16-34-27_mix.png,1280,960,bag1,634,43,1163,373
2018-11-19-16-34-27_mix.png,1280,960,bag1,118,21,634,381
2018-11-19-16-35-18_mix.png,1280,960,bag1,635,89,1136,412
2018-11-19-16-35-18_mix.png,1280,960,bag1,138,81,630,411
2018-11-19-16-35-32_mix.png,1280,960,bag1,146,78,635,408
2018-11-19-16-35-45_mix.png,1280,960,bag1,487,81,805,559
2018-11-19-16-36-00_mix.png,1280,960,bag1,484,81,807,553
2018-11-19-16-37-59_mix.png,1280,960,bag1,489,353,792,817
2018-11-19-16-37-59_mix.png,1280,960,bag1,797,353,1088,824
2018-11-19-16-39-36_mix.png,1280,960,bag1,626,78,1096,387
2018-11-19-16-39-50_mix.png,1280,960,bag1,197,78,649,389
2018-11-19-16-40-06_mix.png,1280,960,bag1,178,57,656,392
2018-11-19-16-40-13_mix.png,1280,960,bag1,175,55,662,387
2018-11-19-16-40-21_mix.png,1280,960,bag1,166,50,663,382
2018-11-19-16-40-36_mix.png,1280,960,bag1,167,59,657,376
2018-11-19-16-40-51_mix.png,1280,960,bag1,165,54,658,389
2018-11-19-16-43-35_mix.png,1280,960,bag1,167,54,645,385
2018-11-19-16-43-43_mix.png,1280,960,bag1,181,57,665,371
2018-11-19-16-43-50_mix.png,1280,960,bag1,171,48,672,378
2018-11-19-16-43-58_mix.png,1280,960,bag1,152,39,668,374
2018-11-19-16-44-52_mix.png,1280,960,bag1,454,85,765,599
2018-11-19-16-45-09_mix.png,1280,960,bag1,460,97,773,600
2018-11-19-16-45-24_mix.png,1280,960,bag1,449,89,781,608
2018-11-19-16-45-50_mix.png,1280,960,bag1,502,354,782,791
2018-11-19-16-46-05_mix.png,1280,960,bag1,498,364,784,794
2018-11-19-16-46-20_mix.png,1280,960,bag1,489,360,784,795
2018-11-19-16-46-36_mix.png,1280,960,bag1,491,344,794,805
2018-11-19-16-46-51_mix.png,1280,960,bag1,458,90,771,571
2018-11-19-16-47-19_mix.png,1280,960,bag1,608,501,1036,795
2018-11-19-16-47-35_mix.png,1280,960,bag1,223,494,691,803
2018-11-19-17-34-30_mix.png,1280,960,bag1,207,86,486,534
2018-11-19-17-34-56_mix.png,1280,960,bag1,494,91,775,529
2018-11-19-17-34-56_mix.png,1280,960,bag1,220,363,492,791
2018-11-19-17-34-56_mix.png,1280,960,bag1,589,516,1031,786
2018-11-19-17-35-22_mix.png,1280,960,bag1,498,99,776,523
2018-11-19-17-35-22_mix.png,1280,960,bag1,771,105,1030,527
2018-11-19-17-35-36_mix.png,1280,960,bag1,488,85,775,521
2018-11-19-17-35-51_mix.png,1280,960,bag1,198,100,633,395
2018-11-19-17-36-16_mix.png,1280,960,bag1,765,370,1035,791
2018-11-19-17-36-16_mix.png,1280,960,bag1,231,510,651,781
2018-11-19-17-36-16_mix.png,1280,960,bag1,214,106,487,513
2018-11-19-17-36-32_mix.png,1280,960,bag1,603,101,1040,380
2018-11-19-17-36-32_mix.png,1280,960,bag1,220,106,488,513
2018-11-19-17-36-32_mix.png,1280,960,bag1,226,515,644,785
2018-11-19-17-36-47_mix.png,1280,960,bag1,194,89,478,518
2018-11-19-17-36-47_mix.png,1280,960,bag1,487,92,768,526
2018-11-19-17-36-47_mix.png,1280,960,bag1,212,516,646,797
2018-11-19-17-37-24_mix.png,1280,960,bag1,200,86,483,521
2018-11-19-17-37-24_mix.png,1280,960,bag1,610,513,1034,787
2018-11-19-17-37-51_mix.png,1280,960,bag1,223,352,499,792
2018-11-19-17-38-07_mix.png,1280,960,bag1,219,363,498,802
2018-11-19-17-38-07_mix.png,1280,960,bag1,502,362,778,797
2018-11-19-17-38-22_mix.png,1280,960,bag1,214,352,499,785
2018-11-19-17-38-22_mix.png,1280,960,bag1,500,355,776,799
2018-11-19-17-38-37_mix.png,1280,960,bag1,219,352,502,786
2018-11-19-17-38-37_mix.png,1280,960,bag1,765,371,1031,790
2018-11-19-17-38-52_mix.png,1280,960,bag1,219,349,498,779
2018-11-19-17-38-52_mix.png,1280,960,bag1,756,371,1036,784
2018-11-19-17-39-08_mix.png,1280,960,bag1,766,366,1047,808
2018-11-19-17-39-08_mix.png,1280,960,bag1,217,107,508,538
2018-11-19-17-42-36_mix.png,1280,960,bag1,762,371,1050,801
2018-11-19-17-42-36_mix.png,1280,960,bag1,231,524,651,799
2018-11-19-17-42-50_mix.png,1280,960,bag1,772,366,1046,805
2018-11-19-17-42-50_mix.png,1280,960,bag1,239,373,517,789
2018-11-19-17-43-15_mix.png,1280,960,bag1,761,118,1038,566
2018-11-19-17-43-29_mix.png,1280,960,bag1,598,522,1045,806
2018-11-19-17-43-29_mix.png,1280,960,bag1,219,103,635,402
2018-11-19-17-43-43_mix.png,1280,960,bag1,219,110,639,396
2018-11-19-17-43-50_mix.png,1280,960,bag1,233,111,647,399
2018-11-19-17-43-58_mix.png,1280,960,bag1,213,96,647,397
2018-11-19-17-44-12_mix.png,1280,960,bag1,518,365,797,803
2018-11-19-17-44-26_mix.png,1280,960,bag1,760,373,1031,797
2018-11-19-17-44-26_mix.png,1280,960,bag1,247,111,525,534
2018-11-19-17-44-51_mix.png,1280,960,bag1,596,101,1054,396
2018-11-19-17-44-51_mix.png,1280,960,bag1,230,101,515,537
2018-11-19-17-45-27_mix.png,1280,960,bag1,514,107,799,557
2018-11-19-17-45-41_mix.png,1280,960,bag1,755,108,1030,548
2018-11-19-17-45-41_mix.png,1280,960,bag1,249,364,526,779
2018-11-19-17-45-55_mix.png,1280,960,bag1,239,354,519,795
2018-11-19-17-45-55_mix.png,1280,960,bag1,523,357,799,790
2018-11-19-17-46-21_mix.png,1280,960,bag1,746,345,1026,789
2018-11-19-17-46-21_mix.png,1280,960,bag1,213,115,663,410
2018-11-19-17-46-36_mix.png,1280,960,bag1,746,350,1017,797
2018-11-19-17-46-52_mix.png,1280,960,bag1,741,345,1020,792
2018-11-19-17-48-17_mix.png,1280,960,bag1,230,349,510,774
2018-11-19-17-48-31_mix.png,1280,960,bag1,486,342,770,784
2018-11-19-17-48-55_mix.png,1280,960,bag1,728,343,1017,779
2018-11-19-17-49-10_mix.png,1280,960,bag1,720,339,1015,779
2018-11-19-17-49-24_mix.png,1280,960,bag1,723,328,1034,795
2018-11-19-17-49-38_mix.png,1280,960,bag1,731,334,1033,794
2018-11-19-17-50-11_mix.png,1280,960,bag1,736,103,1028,532
2018-11-19-17-50-24_mix.png,1280,960,bag1,579,495,1039,800
2018-11-19-17-50-38_mix.png,1280,960,bag1,466,342,745,771
2018-11-19-17-50-38_mix.png,1280,960,bag1,751,365,1019,775
2018-11-19-17-50-51_mix.png,1280,960,bag1,231,97,670,395
2018-11-19-17-50-51_mix.png,1280,960,bag1,742,371,1020,773
2018-11-19-17-51-04_mix.png,1280,960,bag1,229,102,671,402
2018-11-19-17-51-12_mix.png,1280,960,bag1,236,97,683,397
2018-11-19-17-51-25_mix.png,1280,960,bag1,234,105,658,394
2018-11-19-17-51-39_mix.png,1280,960,bag1,203,87,672,385
2018-11-19-17-51-46_mix.png,1280,960,bag1,233,87,670,390
2018-11-19-17-51-54_mix.png,1280,960,bag1,220,82,677,384
2018-11-19-17-52-01_mix.png,1280,960,bag1,208,73,675,390
2018-11-19-17-52-14_mix.png,1280,960,bag1,567,85,1041,384
2018-11-19-17-53-46_mix.png,1280,960,bag1,572,87,1052,387
2018-11-19-17-54-00_mix.png,1280,960,bag1,558,89,1041,376
2018-11-19-17-54-13_mix.png,1280,960,bag1,487,87,768,532
2018-11-19-17-54-26_mix.png,1280,960,bag1,739,106,1019,527
2018-11-19-17-54-26_mix.png,1280,960,bag1,241,338,509,763
2018-11-19-17-55-15_mix.png,1280,960,bag1,489,338,767,778
2018-11-19-17-55-15_mix.png,1280,960,bag1,767,352,1019,792
2018-11-19-17-55-38_mix.png,1280,960,bag1,233,103,678,389
